k,x,scalar_root,reduced_kirchhoff,reduced_norm,full_verified,full_kirchhoff,full_norm,vertices,edges
603,0.002604974925164918,0.831601022346309,1.3921155894713877e-16,8.881784197001252e-16,False,,,4824,7236
605,0.002596363399044258,0.8316026633308004,8.326672684688674e-17,6.661338147750939e-16,False,,,4840,7260
607,0.002587808621417706,0.8316042934598248,3.946495907847236e-17,1.7763568394002505e-15,False,,,4856,7284
609,0.0025793100331818132,0.8316059128407425,5.594483210025203e-17,4.440892098500626e-16,False,,,4872,7308
611,0.002570867082553717,0.8316075215795035,7.708677446371937e-17,1.1102230246251565e-15,False,,,4888,7332
613,0.002562479224951714,0.8316091197806686,7.45931094670027e-17,1.2212453270876722e-15,False,,,4904,7356
615,0.002554145922878168,0.831610707547435,2.168404344971009e-17,1.1102230246251565e-16,False,,,4920,7380
617,0.0025458666458046952,0.8316122849816553,7.892991815694472e-17,4.440892098500626e-16,False,,,4936,7404
619,0.0025376408700595707,0.8316138521838612,2.198762005800603e-16,8.881784197001252e-16,False,,,4952,7428
621,0.0025294680787173174,0.8316154092532847,1.0061396160665481e-16,6.661338147750939e-16,False,,,4968,7452
623,0.0025213477614904143,0.8316169562878786,1.9212062496443139e-16,4.440892098500626e-16,False,,,4984,7476
625,0.0025132794146230913,0.8316184933843375,3.0140820395097023e-16,4.440892098500626e-16,False,,,5000,7500
627,0.002505262540787152,0.8316200206381169,2.3028454143592114e-16,1.7763568394002505e-15,False,,,5016,7524
629,0.002497296648979783,0.8316215381434554,2.194425197110661e-16,8.881784197001252e-16,False,,,5032,7548
631,0.0024893812544233137,0.8316230459933903,6.396792817664476e-17,4.440892098500626e-16,False,,,5048,7572
633,0.0024815158784668666,0.8316245442797799,2.701831813833877e-16,1.2212453270876722e-15,False,,,5064,7596
635,0.002473700048489875,0.8316260330933217,4.2500725161431774e-17,1.7763568394002505e-15,False,,,5080,7620
637,0.002465933297807411,0.831627512523568,5.551115123125783e-17,1.3322676295501878e-15,False,,,5096,7644
639,0.0024582151655772985,0.8316289826589477,4.92227786308419e-17,1.7763568394002505e-15,False,,,5112,7668
641,0.002450545196708959,0.8316304435867807,8.977193988179977e-17,8.881784197001252e-16,False,,,5128,7692
643,0.0024429229417739615,0.8316318953932981,4.85722573273506e-17,3.3306690738754696e-16,False,,,5144,7716
645,0.0024353479569182374,0.8316333381636558,3.469446951953614e-17,1.3322676295501878e-15,False,,,5160,7740
647,0.0024278198037759207,0.8316347719819548,7.892991815694472e-17,8.881784197001252e-16,False,,,5176,7764
649,0.0024203380493847846,0.8316361969312539,4.5319650809894085e-17,4.440892098500626e-16,False,,,5192,7788
651,0.0024129022661032343,0.8316376130935889,1.7824283715661693e-16,6.661338147750939e-16,False,,,5208,7812
653,0.002405512031528826,0.8316390205499862,4.5536491244391186e-17,4.440892098500626e-16,False,,,5224,7836
655,0.0023981669284182804,0.8316404193804796,5.3017486234541167e-17,2.220446049250313e-16,False,,,5240,7860
657,0.0023908665446089545,0.8316418096641246,1.8995222061946038e-16,4.440892098500626e-16,False,,,5256,7884
659,0.0023836104729417448,0.8316431914790138,2.419939248987646e-16,8.881784197001252e-16,False,,,5272,7908
661,0.00237639831118539,0.8316445649022907,2.662800535624399e-16,1.1102230246251565e-15,False,,,5288,7932
663,0.002369229661962143,0.8316459300101657,1.1102230246251565e-16,2.220446049250313e-16,False,,,5304,7956
665,0.0023621041326747864,0.8316472868779284,2.0860049798621105e-16,8.881784197001252e-16,False,,,5320,7980
667,0.0023550213354349594,0.8316486355799627,1.0278236595162582e-16,1.3322676295501878e-15,False,,,5336,8004
669,0.002347980886992768,0.8316499761897591,6.787105599759258e-17,2.220446049250313e-16,False,,,5352,8028
671,0.00234098240866766,0.8316513087799301,1.97758476261356e-16,8.881784197001252e-16,False,,,5368,8052
673,0.0023340255262805274,0.8316526334222208,1.3227266504323154e-16,2.220446049250313e-16,False,,,5384,8076
675,0.0023271098700870176,0.8316539501875243,1.5395670849294163e-17,6.661338147750939e-16,False,,,5400,8100
677,0.002320235074712027,0.831655259145892,2.1532255145562118e-16,1.3322676295501878e-15,False,,,5416,8124
679,0.0023134007790853515,0.8316565603665473,2.3115190317390955e-16,6.661338147750939e-16,False,,,5432,8148
